,name,EFA,thc_input,cbd_input,type_Indica,type_Sativa
0,100 OG,"Focused, Citrus, Depression",127.0,16.0,0,0
1,A-10,"Relaxed, Happy, Uplifted, Energetic, Sleepy, Dry Mouth, Paranoid, Citrus, Sweet, Stress, Insomnia, Pain, Muscle Spasms, Depression",858.4444444444445,13.0,1,0
2,Acapulco Gold,"Happy, Euphoric, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious, Earthy, Citrus, Depression, Stress, Pain, Lack of Appetite",924.3125,30.0,0,1
3,Afghani Bullrider,"Uplifted, Relaxed, Happy, Euphoric, Dry Mouth, Paranoid, Sweet, Pine, Earthy, Stress, Depression, Insomnia, Pain",127.0,16.0,0,0
4,Afghan Big Bud,"Euphoric, Happy, Talkative, Relaxed, Sleepy, Dry Mouth, Paranoid, Lemon, Lavender, Stress, Pain, Nausea, Insomnia, Depression",858.4444444444445,13.0,1,0
5,Afghani,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Earthy, Sweet, Pine, Stress, Insomnia, Pain, Lack of Appetite, Depression",858.4444444444445,13.0,1,0
6,Afghooey,"Uplifted, Sleepy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid, Earthy, Sweet, Pain, Stress, Insomnia, Depression, Muscle Spasms",127.0,13.0,1,0
7,Afgoo,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious, Pine, Earthy, Citrus, Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms",127.0,13.0,1,0
8,Afgooey,"Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious, Earthy, Pine, Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms",858.4444444444445,13.0,1,0
9,Alaskan Thunder Fuck,"Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious, Earthy, Pine, Stress, Depression, Lack of Appetite, Pain",1500.0,30.0,0,1
10,Aloha,"Energetic, Uplifted, Happy, Creative, Focused, Dry Mouth, Anxious, Sweet, Citrus, Depression, Stress, Pain",861.6176470588235,16.0,0,0
11,Amnesia Haze,"Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious, Citrus, Lemon, Earthy, Stress, Depression, Pain",861.6176470588235,16.0,0,0
12,Anesthesia,"Hungry, Sleepy, Happy, Euphoric, Creative, Paranoid, Anxious, Earthy, Pain, Stress, Insomnia, Lack of Appetite",858.4444444444445,13.0,1,0
13,BC Sweet Tooth,"Uplifted, Happy, Relaxed, Sleepy, Euphoric, Dry Mouth, Paranoid, Sweet, Honey, Stress, Insomnia, Depression, Nausea, Pain",861.6176470588235,16.0,0,0
14,Berkeley,"Talkative, Happy, Uplifted, Energetic, Focused, Anxious, Dry Mouth, Paranoid, Citrus, Sweet, Stress, Depression, Lack of Appetite, Pain",861.6176470588235,16.0,0,0
15,Berry White,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious, Berry, Sweet, Blueberry, Stress, Pain, Depression, Insomnia",1600.0,16.0,0,0
16,Big Bud,"Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid, Earthy, Stress, Pain, Insomnia, Depression, Muscle Spasms",127.0,16.0,0,0
17,Big Wreck,"Euphoric, Relaxed, Uplifted, Tingly, Happy, Dry Mouth, Paranoid, Earthy, Stress, Insomnia, Depression, Lack of Appetite, Muscle Spasms",861.6176470588235,16.0,0,0
18,Black Domina,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Pine, Pepper, Stress, Depression, Pain, Insomnia, Lack of Appetite",127.0,16.0,0,0
19,Black Label Kush,"Euphoric, Relaxed, Sleepy, Happy, Uplifted, Dry Mouth, Paranoid, Berry, Stress, Pain, Insomnia, Depression, Inflammation",858.4444444444445,13.0,1,0
20,Blackberry Hashplant,"Euphoric, Sleepy, Uplifted, Energetic, Happy, Dry Mouth, Paranoid, Berry, Sweet, Earthy, Pain, Stress, Insomnia, Nausea",858.4444444444445,13.0,1,0
21,Blackberry Kush,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious, Berry, Sweet, Earthy, Stress, Pain, Insomnia, Depression, Nausea",1300.0,16.0,0,0
22,Blue Bayou,"Uplifted, Creative, Happy, Sleepy, Dry Mouth, Sweet, Nausea, Stress, Depression",861.6176470588235,16.0,0,0
23,Blue Cheese,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Blueberry, Stress, Insomnia, Pain, Depression",127.0,16.0,0,0
24,Blue Mystic,"Relaxed, Happy, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious, Blueberry, Earthy, Sweet, Stress, Depression, Nausea",861.6176470588235,16.0,0,0
25,Blue Satellite,"Happy, Energetic, Horny, Uplifted, Euphoric, Dry Mouth, Paranoid, Sweet, Blueberry, Stress, Pain, Nausea, Inflammation",861.6176470588235,16.0,0,0
26,Blueberry,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious, Blueberry, Sweet, Berry, Stress, Pain, Depression, Insomnia, Lack of Appetite",1600.0,16.0,0,0
27,Blueberry Kush,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid, Blueberry, Berry, Sweet, Pain, Stress, Insomnia, Depression, Lack of Appetite",127.0,13.0,1,0
28,Brainstorm Haze,"Talkative, Happy, Uplifted, Focused, Energetic, Dry Mouth, Anxious, Sweet, Earthy, Pain, Muscle Spasms, Stress, Depression, Nausea",861.6176470588235,16.0,0,0
29,Bubba Kush,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid, Earthy, Sweet, Pain, Stress, Insomnia, Depression, Lack of Appetite",1800.0,16.0,0,0
30,Bubba OG,"Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Paranoid, Earthy, Sweet, Stress, Pain, Depression, Insomnia, Nausea",1600.0,16.0,0,0
31,C13 Haze,"Euphoric, Creative, Uplifted, Energetic, Dry Mouth, Paranoid, Earthy, Lemon, Pain, Stress, Muscle Spasms, Depression, Nausea",861.6176470588235,16.0,0,0
32,Cannalope Haze,"Happy, Relaxed, Focused, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious, Sweet, Lime, Depression, Stress, Pain, Nausea",127.0,16.0,0,0
33,Casey Jones,"Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious, Sweet, Earthy, Depression, Stress, Pain, Inflammation",127.0,16.0,0,0
